term 	 tf-idf weight 	 BM25 ranking 
 copyright 	 205.8234197537832 1.6217739296311922 
cels 	 15791.607844733497 0.6002085625550716 
gotk 	 15791.607844733497 0.6002085625550716 
icel 	 15791.607844733497 0.6002085625550716 
millicom 	 15791.607844733497 0.6002085625550716 
miccf 	 15791.607844733497 0.6002085625550716 
palmer 	 12133.177025738105 0.6002085625550716 
pwir 	 15791.607844733497 0.6002085625550716 
pitc 	 15791.607844733497 0.6002085625550716 
pricellular 	 15791.607844733497 0.6002085625550716 
rogers 	 12133.177025738105 0.6002085625550716 
cantel 	 15791.607844733497 0.6002085625550716 
rcmif 	 15791.607844733497 0.6002085625550716 
usm 	 15791.607844733497 0.6002085625550716 
vanguard 	 15791.607844733497 0.6002085625550716 
vcela 	 15791.607844733497 0.6002085625550716 
dep 	 12133.177025738105 0.6002085625550716 
shares 	 9022.7064903925 0.6002085625550716 
alcatel 	 15791.607844733497 0.6002085625550716 
alsthom 	 15791.607844733497 0.6002085625550716 
ala 	 6409.044310462933 0.6002085625550716 
british 	 6485.542420271446 0.6002085625550716 
bty 	 15791.607844733497 0.6002085625550716 
cwp 	 15791.607844733497 0.6002085625550716 
telcommunications 	 15791.607844733497 0.6002085625550716 
hkt 	 15791.607844733497 0.6002085625550716 
grupo 	 15791.607844733497 0.6002085625550716 
iusacell 	 15791.607844733497 0.6002085625550716 
ericy 	 15791.607844733497 0.6002085625550716 
nippon 	 13962.3924352358 0.6002085625550716 
telegraph 	 13962.3924352358 0.6002085625550716 
ntt 	 15791.607844733497 0.6002085625550716 
nok 	 10656.350961376524 0.6002085625550716 
telebras 	 15791.607844733497 0.6002085625550716 
tbr 	 15791.607844733497 0.6002085625550716 
telefonica 	 15791.607844733497 0.6002085625550716 
espana 	 13962.3924352358 0.6002085625550716 
tef 	 15791.607844733497 0.6002085625550716 
telefonos 	 15791.607844733497 0.6002085625550716 
mexico 	 7517.038608896469 0.6002085625550716 
tmx 	 15791.607844733497 0.6002085625550716 
telkom 	 12892.370014938355 0.6002085625550716 
tlk 	 15791.607844733497 0.6002085625550716 
vodafone 	 15791.607844733497 0.6002085625550716 
vod 	 15791.607844733497 0.6002085625550716 
oems 	 15791.607844733497 0.6002085625550716 
software 	 7404.723786445267 0.6002085625550716 
acom 	 15791.607844733497 0.6002085625550716 
anadigics 	 15791.607844733497 0.6002085625550716 
anad 	 15791.607844733497 0.6002085625550716 
bstn 	 15791.607844733497 0.6002085625550716 
brightpoint 	 15791.607844733497 0.6002085625550716 
cell 	 11063.154605440659 0.6002085625550716 
brite 	 13962.3924352358 0.6002085625550716 
bvsi 	 15791.607844733497 0.6002085625550716 
cellstar 	 15791.607844733497 0.6002085625550716 
clst 	 15791.607844733497 0.6002085625550716 
technical 	 6729.315612097194 0.6002085625550716 
ctsc 	 15791.607844733497 0.6002085625550716 
coherent 	 15791.607844733497 0.6002085625550716 
sys 	 15791.607844733497 0.6002085625550716 
ccsc 	 15791.607844733497 0.6002085625550716 
comverse 	 15791.607844733497 0.6002085625550716 
cmvt 	 15791.607844733497 0.6002085625550716 
cycomm 	 15791.607844733497 0.6002085625550716 
cyi 	 15791.607844733497 0.6002085625550716 
dsp 	 15791.607844733497 0.6002085625550716 
dspc 	 15791.607844733497 0.6002085625550716 
elcc 	 15791.607844733497 0.6002085625550716 
magic 	 9715.08578432221 0.6002085625550716 
gmgc 	 15791.607844733497 0.6002085625550716 
semiconductor 	 12892.370014938355 0.6002085625550716 
isco 	 15791.607844733497 0.6002085625550716 
wave 	 9463.562219818596 0.6002085625550716 
mwav 	 15791.607844733497 0.6002085625550716 
octel 	 15791.607844733497 0.6002085625550716 
octl 	 15791.607844733497 0.6002085625550716 
racotek 	 15791.607844733497 0.6002085625550716 
raco 	 12892.370014938355 0.6002085625550716 
rell 	 15791.607844733497 0.6002085625550716 
stm 	 15791.607844733497 0.6002085625550716 
stmi 	 15791.607844733497 0.6002085625550716 
shared 	 6729.315612097194 0.6002085625550716 
stcl 	 15791.607844733497 0.6002085625550716 
socket 	 15791.607844733497 0.6002085625550716 
sckt 	 15791.607844733497 0.6002085625550716 
tcsi 	 7895.803922366748 0.9233237228713409 
tekelec 	 15791.607844733497 0.6002085625550716 
tklc 	 15791.607844733497 0.6002085625550716 
tessco 	 15791.607844733497 0.6002085625550716 
tess 	 12892.370014938355 0.6002085625550716 
wtt 	 15791.607844733497 0.6002085625550716 
satellite 	 4616.969597971482 0.9233237228713409 
skyc 	 15791.607844733497 0.6002085625550716 
electromagnetic 	 12892.370014938355 0.6002085625550716 
sciences 	 4731.781109909298 0.9233237228713409 
elmg 	 15791.607844733497 0.6002085625550716 
globalstar 	 15791.607844733497 0.6002085625550716 
gstrf 	 15791.607844733497 0.6002085625550716 
orbital 	 11063.154605440659 0.6002085625550716 
orbi 	 15791.607844733497 0.6002085625550716 
poor's 	 12892.370014938355 0.6002085625550716 
dow 	 11063.154605440659 0.6002085625550716 
jones 	 8314.757829769142 0.6002085625550716 
industrial 	 5216.255568905004 0.6002085625550716 
average 	 8021.233378713259 0.6002085625550716 
asterisk 	 13962.3924352358 0.6002085625550716 
indicates 	 9463.562219818596 0.6002085625550716 
source 	 6485.542420271446 0.6002085625550716 
bloomberg 	 15791.607844733497 0.6002085625550716 
fcc's 	 13962.3924352358 0.6002085625550716 
reed 	 12133.177025738105 0.6002085625550716 
hundt 	 15791.607844733497 0.6002085625550716 
hailed 	 11063.154605440659 0.6002085625550716 
prospect 	 11063.154605440659 0.6002085625550716 
simultaneous 	 9993.132185143213 0.6002085625550716 
tremendous 	 9463.562219818596 0.6002085625550716 
accomplishment 	 12133.177025738105 0.6002085625550716 
reason 	 6192.017969215563 0.6002085625550716 
ago 	 7757.113131581382 0.6002085625550716 
moved 	 9993.132185143213 0.6002085625550716 
sedate 	 15791.607844733497 0.6002085625550716 
bandwidth 	 12892.370014938355 0.6002085625550716 
kicked 	 13962.3924352358 0.6002085625550716 
bang 	 12892.370014938355 0.6002085625550716 
bids 	 6446.185007469177 0.9233237228713409 
exceeded 	 12892.370014938355 0.6002085625550716 
fourth 	 7517.038608896469 0.6002085625550716 
round 	 4010.6166893566296 0.9233237228713409 
hopeful 	 15791.607844733497 0.6002085625550716 
astronomical 	 13962.3924352358 0.6002085625550716 
basic 	 5467.779133408618 0.6002085625550716 
bta 	 7895.803922366748 0.9233237228713409 
skewing 	 15791.607844733497 0.6002085625550716 
bidding 	 13962.3924352358 0.6002085625550716 
hectic 	 15791.607844733497 0.6002085625550716 
activity 	 5314.007484869447 0.6002085625550716 
doubts 	 11544.301193819905 0.6002085625550716 
delayed 	 11063.154605440659 0.6002085625550716 
measure 	 7404.723786445267 0.6002085625550716 
praised 	 10303.961616240409 0.6002085625550716 
contiguous 	 15791.607844733497 0.6002085625550716 
blocks 	 11063.154605440659 0.6002085625550716 
notices 	 12133.177025738105 0.6002085625550716 
proposed 	 6409.044310462933 0.6002085625550716 
rulemaking 	 13962.3924352358 0.6002085625550716 
nprms 	 15791.607844733497 0.6002085625550716 
allot 	 15791.607844733497 0.6002085625550716 
adopted 	 8827.135551878828 0.6002085625550716 
final 	 6262.395473265387 0.6002085625550716 
rules 	 6123.468660597358 0.6002085625550716 
ghz 	 6981.1962176179 0.9233237228713409 
auctioned 	 15791.607844733497 0.6002085625550716 
credits 	 6997.920142381133 0.6002085625550716 
installment 	 13962.3924352358 0.6002085625550716 
accorded 	 11544.301193819905 0.6002085625550716 
businesses 	 7634.346810320901 0.6002085625550716 
wish 	 8163.916775645517 0.6002085625550716 
bid 	 10656.350961376524 0.6002085625550716 
provision 	 8474.746206742713 0.6002085625550716 
permit 	 10656.350961376524 0.6002085625550716 
processing 	 7517.038608896469 0.6002085625550716 
pending 	 11544.301193819905 0.6002085625550716 
nprm 	 15791.607844733497 0.6002085625550716 
hospitals 	 8021.233378713259 0.6002085625550716 
vacant 	 13962.3924352358 0.6002085625550716 
ultra 	 13962.3924352358 0.6002085625550716 
bands 	 12892.370014938355 0.6002085625550716 
doubling 	 15791.607844733497 0.6002085625550716 
regions 	 6905.314149399191 0.6002085625550716 
frequencies 	 11544.301193819905 0.6002085625550716 
remote 	 8645.063364024763 0.6002085625550716 
patient 	 7404.723786445267 0.6002085625550716 
monitoring 	 9463.562219818596 0.6002085625550716 
power 	 3801.8529143229557 0.6002085625550716 
levels 	 6056.654965326818 0.6002085625550716 
allowed 	 6485.542420271446 0.6002085625550716 
medical 	 5030.986530266302 0.6002085625550716 
telemetry 	 13962.3924352358 0.6002085625550716 
devices 	 8474.746206742713 0.6002085625550716 
